,drug,CYP_l,CYP1A2_l,CYP3A4_l,CYP2C8_l,CYP2C9_l,cytochrome,CYP1A2,CYP3A4,CYP2C8,CYP2C9,year,count_pubmed,count_name,CYP1A2_norm_cyt,CYP1A2_norm_name,CYP1A2_norm_pubmed,CYP3A4_norm_cyt,CYP3A4_norm_name,CYP3A4_norm_pubmed,CYP2C8_norm_cyt,CYP2C8_norm_name,CYP2C8_norm_pubmed,CYP2C9_norm_cyt,CYP2C9_norm_name,CYP2C9_norm_pubmed,pubmed_count_full
126,GATIFLOXACIN ANHYDROUS,0.0,0.0,0.0,0.0,0.0,81.0,9.0,35.0,1.0,10.0,0.0,0.0,867.0,0.1111111111111111,0.010380622837370242,inf,0.43209876543209874,0.040369088811995385,inf,0.012345679012345678,0.0011534025374855825,inf,0.12345679012345678,0.011534025374855825,inf,867.0
127,MEROPENEM ANHYDROUS,0.0,0.0,0.0,0.0,0.0,65.0,4.0,23.0,1.0,4.0,2006.0,2.0,913.0,0.06153846153846154,0.004381161007667032,2.0,0.35384615384615387,0.025191675794085433,11.5,0.015384615384615385,0.001095290251916758,0.5,0.06153846153846154,0.004381161007667032,2.0,913.0
128,INDINAVIR ANHYDROUS,2.0,0.0,1.0,0.0,0.0,273.0,41.0,177.0,26.0,53.0,0.0,0.0,968.0,0.15018315018315018,0.042355371900826444,inf,0.6483516483516484,0.1828512396694215,inf,0.09523809523809523,0.026859504132231406,inf,0.19413919413919414,0.05475206611570248,inf,968.0
129,LEVOFLOXACIN ANHYDROUS,0.0,0.0,0.0,0.0,0.0,165.0,26.0,75.0,8.0,25.0,1991.0,8110.0,2160.0,0.15757575757575756,0.012037037037037037,0.0032059186189889025,0.45454545454545453,0.034722222222222224,0.009247842170160296,0.048484848484848485,0.003703703703703704,0.0009864364981504315,0.15151515151515152,0.011574074074074073,0.0030826140567200987,2160.0
130,CIDOFOVIR ANHYDROUS,0.0,0.0,0.0,0.0,0.0,53.0,2.0,20.0,0.0,2.0,1988.0,1820.0,525.0,0.03773584905660377,0.0038095238095238095,0.001098901098901099,0.37735849056603776,0.0380952380952381,0.01098901098901099,0.0,0.0,0.0,0.03773584905660377,0.0038095238095238095,0.001098901098901099,525.0
131,FOSFOMYCIN,0.0,0.0,0.0,0.0,0.0,1130.0,68.0,244.0,29.0,63.0,1971.0,3317.0,38600.0,0.06017699115044248,0.001761658031088083,0.020500452215857702,0.215929203539823,0.006321243523316062,0.07356044618631294,0.02566371681415929,0.0007512953367875648,0.008742839915586373,0.05575221238938053,0.0016321243523316062,0.018993066023515224,38600.0
132,NICARDIPINE,3.0,0.0,1.0,1.0,0.0,4800.0,1850.0,2400.0,389.0,2160.0,1980.0,3755.0,43700.0,0.3854166666666667,0.04233409610983982,0.49267643142476697,0.5,0.05491990846681922,0.6391478029294274,0.08104166666666666,0.008901601830663616,0.10359520639147803,0.45,0.0494279176201373,0.5752330226364847,43700.0
133,CARTEOLOL,2.0,0.0,0.0,0.0,0.0,194.0,58.0,124.0,26.0,59.0,1976.0,408.0,6520.0,0.29896907216494845,0.008895705521472393,0.14215686274509803,0.6391752577319587,0.01901840490797546,0.30392156862745096,0.13402061855670103,0.003987730061349694,0.06372549019607843,0.30412371134020616,0.009049079754601227,0.14460784313725492,6520.0
134,IOVERSOL,0.0,0.0,0.0,0.0,0.0,35.0,1.0,2.0,1.0,2.0,1987.0,474.0,4610.0,0.02857142857142857,0.00021691973969631235,0.002109704641350211,0.05714285714285714,0.0004338394793926247,0.004219409282700422,0.02857142857142857,0.00021691973969631235,0.002109704641350211,0.05714285714285714,0.0004338394793926247,0.004219409282700422,4610.0
135,NAFARELIN,0.0,0.0,0.0,0.0,0.0,290.0,14.0,71.0,4.0,9.0,1981.0,319.0,7010.0,0.04827586206896552,0.0019971469329529245,0.0438871473354232,0.24482758620689654,0.010128388017118403,0.2225705329153605,0.013793103448275862,0.0005706134094151213,0.012539184952978056,0.03103448275862069,0.0012838801711840227,0.02821316614420063,7010.0
136,ISRADIPINE,1.0,0.0,0.0,0.0,0.0,2650.0,192.0,1810.0,117.0,1550.0,1983.0,1615.0,21900.0,0.07245283018867925,0.008767123287671232,0.11888544891640866,0.6830188679245283,0.08264840182648402,1.1207430340557276,0.04415094339622642,0.005342465753424658,0.07244582043343653,0.5849056603773585,0.07077625570776255,0.9597523219814241,21900.0
137,DOCOSANOL,0.0,0.0,0.0,0.0,0.0,140.0,8.0,34.0,3.0,11.0,1969.0,87.0,3830.0,0.05714285714285714,0.0020887728459530026,0.09195402298850575,0.24285714285714285,0.008877284595300261,0.39080459770114945,0.02142857142857143,0.000783289817232376,0.034482758620689655,0.07857142857142857,0.0028720626631853785,0.12643678160919541,3830.0
138,DISODIUM AZELATE,0.0,0.0,0.0,0.0,0.0,48.0,1.0,6.0,1.0,1.0,0.0,0.0,127.0,0.020833333333333332,0.007874015748031496,inf,0.125,0.047244094488188976,inf,0.020833333333333332,0.007874015748031496,inf,0.020833333333333332,0.007874015748031496,inf,127.0
139,AMIFOSTINE ANHYDROUS,0.0,0.0,0.0,0.0,0.0,39.0,3.0,5.0,1.0,4.0,1976.0,1687.0,192.0,0.07692307692307693,0.015625,0.0017783046828689982,0.1282051282051282,0.026041666666666668,0.002963841138114997,0.02564102564102564,0.005208333333333333,0.0005927682276229994,0.10256410256410256,0.020833333333333332,0.0023710729104919974,192.0
140,IOPROMIDE,0.0,0.0,0.0,0.0,0.0,237.0,6.0,34.0,6.0,10.0,1983.0,1777.0,14600.0,0.02531645569620253,0.00041095890410958907,0.0033764772087788407,0.14345991561181434,0.002328767123287671,0.019133370849746763,0.02531645569620253,0.00041095890410958907,0.0033764772087788407,0.04219409282700422,0.0006849315068493151,0.005627462014631401,14600.0
141,MOEXIPRILAT,0.0,0.0,0.0,0.0,0.0,32.0,8.0,20.0,2.0,11.0,1988.0,28.0,184.0,0.25,0.043478260869565216,0.2857142857142857,0.625,0.10869565217391304,0.7142857142857143,0.0625,0.010869565217391304,0.07142857142857142,0.34375,0.059782608695652176,0.39285714285714285,184.0
142,FLUVOXAMINE MALEATE,1.0,0.0,0.0,0.0,0.0,334.0,209.0,264.0,67.0,153.0,1977.0,2659.0,2960.0,0.625748502994012,0.07060810810810811,0.07860097781120721,0.7904191616766467,0.0891891891891892,0.09928544565626175,0.20059880239520958,0.022635135135135136,0.025197442647611885,0.45808383233532934,0.05168918918918919,0.057540428732606244,2960.0
143,ACRIVASTINE,0.0,0.0,0.0,0.0,0.0,112.0,17.0,61.0,4.0,8.0,1984.0,95.0,1930.0,0.15178571428571427,0.008808290155440414,0.17894736842105263,0.5446428571428571,0.031606217616580314,0.6421052631578947,0.03571428571428571,0.002072538860103627,0.042105263157894736,0.07142857142857142,0.004145077720207254,0.08421052631578947,1930.0
144,NEFAZODONE HYDROCHLORIDE,1.0,0.0,1.0,0.0,0.0,925.0,445.0,752.0,214.0,424.0,1986.0,662.0,3330.0,0.4810810810810811,0.13363363363363365,0.6722054380664653,0.812972972972973,0.22582582582582583,1.13595166163142,0.23135135135135135,0.06426426426426426,0.32326283987915405,0.45837837837837836,0.12732732732732732,0.6404833836858006,3330.0
