,drug,CYP_l,CYP1A2_l,CYP3A4_l,CYP2C8_l,CYP2C9_l,cytochrome,CYP1A2,CYP3A4,CYP2C8,CYP2C9,year,count_pubmed,count_name,CYP1A2_norm_cyt,CYP1A2_norm_name,CYP1A2_norm_pubmed,CYP3A4_norm_cyt,CYP3A4_norm_name,CYP3A4_norm_pubmed,CYP2C8_norm_cyt,CYP2C8_norm_name,CYP2C8_norm_pubmed,CYP2C9_norm_cyt,CYP2C9_norm_name,CYP2C9_norm_pubmed,pubmed_count_full
177,OLSALAZINE,0.0,0.0,0.0,0.0,0.0,324.0,53.0,167.0,19.0,55.0,1982.0,231.0,5590.0,0.16358024691358025,0.009481216457960644,0.22943722943722944,0.5154320987654321,0.029874776386404293,0.7229437229437229,0.05864197530864197,0.003398926654740608,0.08225108225108226,0.1697530864197531,0.009838998211091235,0.23809523809523808,5590.0
178,MEFLOQUINE,1.0,0.0,1.0,0.0,0.0,12300.0,1300.0,4630.0,1430.0,1740.0,1974.0,2836.0,40200.0,0.10569105691056911,0.03233830845771144,0.45839210155148097,0.37642276422764226,0.11517412935323383,1.6325811001410437,0.11626016260162601,0.03557213930348259,0.504231311706629,0.14146341463414633,0.04328358208955224,0.613540197461213,40200.0
179,CARVEDILOL,6.0,1.0,1.0,0.0,1.0,6840.0,1780.0,4580.0,1320.0,3130.0,1984.0,3325.0,55100.0,0.260233918128655,0.032304900181488204,0.5353383458646617,0.6695906432748538,0.08312159709618874,1.3774436090225564,0.19298245614035087,0.023956442831215972,0.3969924812030075,0.45760233918128657,0.056805807622504534,0.9413533834586466,55100.0
180,EPOPROSTENOL,0.0,0.0,0.0,0.0,0.0,547.0,57.0,329.0,62.0,184.0,1976.0,10727.0,21600.0,0.10420475319926874,0.002638888888888889,0.0053136944159597275,0.6014625228519196,0.015231481481481481,0.03067027127808334,0.113345521023766,0.0028703703703703703,0.005779807961219353,0.33638025594149906,0.008518518518518519,0.01715297846555421,21600.0
181,CELECOXIB,2.0,0.0,1.0,0.0,1.0,10100.0,1350.0,5010.0,1500.0,3540.0,1997.0,6576.0,132000.0,0.13366336633663367,0.010227272727272727,0.20529197080291972,0.49603960396039604,0.037954545454545456,0.7618613138686131,0.1485148514851485,0.011363636363636364,0.2281021897810219,0.3504950495049505,0.026818181818181817,0.5383211678832117,132000.0
182,MIFEPRISTONE,3.0,0.0,1.0,0.0,0.0,2080.0,414.0,1100.0,264.0,468.0,1982.0,6616.0,49100.0,0.19903846153846153,0.008431771894093686,0.06257557436517533,0.5288461538461539,0.02240325865580448,0.16626360338573157,0.12692307692307692,0.0053767820773930755,0.03990326481257558,0.225,0.009531568228105906,0.07073760580411124,49100.0
183,RIVASTIGMINE,0.0,0.0,0.0,0.0,0.0,1890.0,276.0,743.0,97.0,226.0,1993.0,1824.0,44200.0,0.14603174603174604,0.006244343891402715,0.1513157894736842,0.3931216931216931,0.01680995475113122,0.40734649122807015,0.051322751322751325,0.0021945701357466065,0.05317982456140351,0.11957671957671957,0.005113122171945701,0.12390350877192982,44200.0
184,METAPROTERENOL,0.0,0.0,0.0,0.0,0.0,157.0,45.0,79.0,11.0,42.0,1967.0,1870.0,6040.0,0.28662420382165604,0.0074503311258278145,0.02406417112299465,0.5031847133757962,0.013079470198675497,0.04224598930481283,0.07006369426751592,0.0018211920529801326,0.0058823529411764705,0.267515923566879,0.00695364238410596,0.022459893048128343,6040.0
185,FENFLURAMINE HYDROCHLORIDE,6.0,1.0,0.0,0.0,1.0,572.0,143.0,300.0,53.0,114.0,1970.0,2691.0,7800.0,0.25,0.018333333333333333,0.05314009661835749,0.5244755244755245,0.038461538461538464,0.11148272017837235,0.09265734265734266,0.006794871794871795,0.019695280564845784,0.1993006993006993,0.014615384615384615,0.042363433667781496,7800.0
186,PANCURONIUM,0.0,0.0,0.0,0.0,0.0,995.0,141.0,333.0,47.0,142.0,1972.0,2536.0,62700.0,0.14170854271356784,0.0022488038277511963,0.0555993690851735,0.33467336683417087,0.0053110047846889955,0.13130914826498422,0.04723618090452261,0.0007496012759170654,0.018533123028391166,0.14271356783919598,0.0022647527910685805,0.055993690851735015,62700.0
187,CROMOLYN,0.0,0.0,0.0,0.0,0.0,1760.0,860.0,1530.0,32.0,866.0,1971.0,3051.0,25300.0,0.48863636363636365,0.03399209486166008,0.28187479514913144,0.8693181818181818,0.060474308300395255,0.5014749262536873,0.01818181818181818,0.0012648221343873518,0.010488364470665356,0.49204545454545456,0.034229249011857706,0.2838413634873812,25300.0
188,APOMORPHINE,3.0,0.0,0.0,1.0,0.0,3110.0,321.0,711.0,83.0,225.0,1916.0,9959.0,95800.0,0.10321543408360129,0.0033507306889352818,0.03223215182247213,0.22861736334405144,0.007421711899791232,0.07139271011145697,0.026688102893890675,0.0008663883089770355,0.008334170097399337,0.07234726688102894,0.002348643006263048,0.022592629782106636,95800.0
189,ZANAMIVIR,0.0,0.0,0.0,0.0,0.0,2270.0,132.0,1110.0,72.0,801.0,1993.0,1358.0,22500.0,0.05814977973568282,0.005866666666666667,0.09720176730486009,0.4889867841409692,0.04933333333333333,0.8173784977908689,0.03171806167400881,0.0032,0.053019145802650956,0.35286343612334803,0.0356,0.5898379970544919,22500.0
190,NAPHAZOLINE,0.0,0.0,0.0,0.0,0.0,99.0,13.0,33.0,7.0,12.0,1974.0,374.0,6060.0,0.13131313131313133,0.0021452145214521452,0.034759358288770054,0.3333333333333333,0.005445544554455445,0.08823529411764706,0.0707070707070707,0.0011551155115511551,0.01871657754010695,0.12121212121212122,0.0019801980198019802,0.03208556149732621,6060.0
191,PENCICLOVIR,1.0,0.0,0.0,0.0,0.0,1770.0,80.0,263.0,42.0,1350.0,1987.0,392.0,10800.0,0.04519774011299435,0.007407407407407408,0.20408163265306123,0.14858757062146893,0.02435185185185185,0.6709183673469388,0.023728813559322035,0.0038888888888888888,0.10714285714285714,0.7627118644067796,0.125,3.443877551020408,10800.0
192,TRANDOLAPRILAT,0.0,0.0,0.0,0.0,0.0,55.0,10.0,34.0,5.0,17.0,1989.0,47.0,18000.0,0.18181818181818182,0.0005555555555555556,0.2127659574468085,0.6181818181818182,0.001888888888888889,0.723404255319149,0.09090909090909091,0.0002777777777777778,0.10638297872340426,0.3090909090909091,0.0009444444444444445,0.3617021276595745,18000.0
193,HALCINONIDE,0.0,0.0,0.0,0.0,0.0,41.0,6.0,14.0,1.0,4.0,1975.0,66.0,1610.0,0.14634146341463414,0.0037267080745341614,0.09090909090909091,0.34146341463414637,0.008695652173913044,0.21212121212121213,0.024390243902439025,0.0006211180124223603,0.015151515151515152,0.0975609756097561,0.002484472049689441,0.06060606060606061,1610.0
194,TERAZOSIN,1.0,0.0,0.0,0.0,0.0,956.0,133.0,322.0,44.0,663.0,1983.0,855.0,17100.0,0.13912133891213388,0.0077777777777777776,0.15555555555555556,0.3368200836820084,0.018830409356725145,0.37660818713450295,0.04602510460251046,0.0025730994152046785,0.05146198830409357,0.6935146443514645,0.0387719298245614,0.775438596491228,17100.0
195,LISINOPRIL ANHYDROUS,0.0,0.0,0.0,0.0,0.0,242.0,27.0,116.0,13.0,49.0,2000.0,3.0,2580.0,0.1115702479338843,0.010465116279069767,9.0,0.4793388429752066,0.04496124031007752,38.666666666666664,0.05371900826446281,0.0050387596899224806,4.333333333333333,0.2024793388429752,0.018992248062015504,16.333333333333332,2580.0
196,MORICIZINE,0.0,0.0,0.0,0.0,0.0,11700.0,2940.0,8170.0,1780.0,4850.0,1980.0,301.0,3640.0,0.2512820512820513,0.8076923076923077,9.767441860465116,0.6982905982905983,2.2445054945054945,27.142857142857142,0.15213675213675212,0.489010989010989,5.913621262458472,0.41452991452991456,1.3324175824175823,16.11295681063123,3640.0
197,PHENYLACETIC ACID,0.0,0.0,0.0,0.0,0.0,4900.0,258.0,1420.0,125.0,912.0,1959.0,1638.0,71500.0,0.052653061224489796,0.003608391608391608,0.1575091575091575,0.2897959183673469,0.01986013986013986,0.8669108669108669,0.025510204081632654,0.0017482517482517483,0.07631257631257632,0.18612244897959185,0.012755244755244755,0.5567765567765568,71500.0
198,TOLMETIN,1.0,0.0,1.0,0.0,0.0,520.0,2180.0,3610.0,1110.0,2860.0,1975.0,1052.0,8840.0,4.1923076923076925,0.24660633484162897,2.0722433460076046,6.9423076923076925,0.4083710407239819,3.431558935361217,2.1346153846153846,0.1255656108597285,1.0551330798479088,5.5,0.3235294117647059,2.7186311787072244,8840.0
199,FENOPROFEN,1.0,0.0,0.0,0.0,1.0,643.0,2420.0,4820.0,815.0,4290.0,1974.0,389.0,11700.0,3.7636080870917574,0.20683760683760682,6.221079691516709,7.496111975116641,0.41196581196581195,12.390745501285346,1.2674961119751167,0.06965811965811966,2.095115681233933,6.671850699844479,0.36666666666666664,11.028277634961439,11700.0
200,DANAZOL,3.0,0.0,1.0,0.0,0.0,1440.0,243.0,868.0,198.0,328.0,1974.0,2476.0,39500.0,0.16875,0.006151898734177215,0.0981421647819063,0.6027777777777777,0.0219746835443038,0.3505654281098546,0.1375,0.005012658227848101,0.07996768982229402,0.22777777777777777,0.00830379746835443,0.13247172859450726,39500.0
201,VIDARABINE,0.0,0.0,0.0,0.0,0.0,783.0,469.0,105.0,10.0,22.0,1974.0,4173.0,12400.0,0.598978288633461,0.03782258064516129,0.11238916846393482,0.13409961685823754,0.008467741935483872,0.02516175413371675,0.01277139208173691,0.0008064516129032258,0.0023963575365444525,0.0280970625798212,0.0017741935483870969,0.005271986580397795,12400.0
202,DIAZOXIDE,0.0,0.0,0.0,0.0,0.0,2400.0,66.0,391.0,52.0,101.0,1962.0,3186.0,46300.0,0.0275,0.0014254859611231101,0.02071563088512241,0.16291666666666665,0.008444924406047516,0.12272441933458883,0.021666666666666667,0.001123110151187905,0.016321406151914627,0.042083333333333334,0.002181425485961123,0.03170119271814187,46300.0
203,TRIPROLIDINE,0.0,0.0,0.0,0.0,0.0,292.0,35.0,105.0,13.0,31.0,1963.0,326.0,5190.0,0.11986301369863013,0.00674373795761079,0.10736196319018405,0.3595890410958904,0.02023121387283237,0.3220858895705521,0.04452054794520548,0.0025048169556840076,0.03987730061349693,0.10616438356164383,0.005973025048169557,0.0950920245398773,5190.0
204,CARBAMOYLCHOLINE,0.0,0.0,0.0,0.0,0.0,588.0,23.0,67.0,2.0,9.0,1954.0,17167.0,2490.0,0.0391156462585034,0.009236947791164659,0.0013397798101007748,0.11394557823129252,0.026907630522088354,0.003902836838119648,0.003401360544217687,0.0008032128514056225,0.00011650259218267607,0.015306122448979591,0.0036144578313253013,0.0005242616648220423,2490.0
205,CLORAZEPIC ACID,1.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,1974.0,244.0,50.0,0.3333333333333333,0.02,0.004098360655737705,0.3333333333333333,0.02,0.004098360655737705,0.0,0.0,0.0,0.0,0.0,0.0,50.0
206,PYRANTEL,4.0,0.0,0.0,1.0,1.0,283.0,44.0,111.0,16.0,36.0,1970.0,706.0,12200.0,0.15547703180212014,0.0036065573770491803,0.06232294617563739,0.392226148409894,0.009098360655737705,0.15722379603399433,0.05653710247349823,0.0013114754098360656,0.0226628895184136,0.127208480565371,0.0029508196721311475,0.05099150141643059,12200.0
207,PYRITHIONE,0.0,0.0,0.0,0.0,0.0,440.0,10.0,58.0,7.0,3.0,1975.0,505.0,6420.0,0.022727272727272728,0.001557632398753894,0.019801980198019802,0.1318181818181818,0.009034267912772585,0.11485148514851486,0.015909090909090907,0.0010903426791277258,0.013861386138613862,0.006818181818181818,0.00046728971962616824,0.005940594059405941,6420.0
208,CLIOQUINOL,0.0,0.0,0.0,0.0,0.0,878.0,31.0,101.0,13.0,28.0,1972.0,605.0,10700.0,0.03530751708428246,0.002897196261682243,0.0512396694214876,0.11503416856492027,0.009439252336448599,0.1669421487603306,0.014806378132118452,0.0012149532710280374,0.021487603305785124,0.03189066059225513,0.002616822429906542,0.04628099173553719,10700.0
209,CHLOPHEDIANOL,1.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,1977.0,8.0,164.0,0.0,0.0,0.0,0.25,0.006097560975609756,0.125,0.0,0.0,0.0,0.0,0.0,0.0,164.0
210,METHAMPHETAMINE SACCHARATE,1.0,0.0,0.0,0.0,0.0,121.0,18.0,31.0,5.0,16.0,0.0,0.0,801.0,0.1487603305785124,0.02247191011235955,inf,0.256198347107438,0.03870162297128589,inf,0.04132231404958678,0.006242197253433208,inf,0.1322314049586777,0.019975031210986267,inf,801.0
211,DYCLONINE,0.0,0.0,0.0,0.0,0.0,59.0,4.0,16.0,0.0,7.0,1985.0,40.0,1560.0,0.06779661016949153,0.002564102564102564,0.1,0.2711864406779661,0.010256410256410256,0.4,0.0,0.0,0.0,0.11864406779661017,0.004487179487179487,0.175,1560.0
212,VALDECOXIB,5.0,1.0,1.0,0.0,1.0,843.0,1380.0,4800.0,1520.0,3480.0,2000.0,475.0,8610.0,1.6370106761565837,0.1602787456445993,2.905263157894737,5.693950177935943,0.5574912891986062,10.105263157894736,1.8030842230130486,0.1765389082462253,3.2,4.128113879003559,0.40418118466898956,7.326315789473684,8610.0
213,CEFDITOREN,1.0,0.0,0.0,0.0,0.0,868.0,23.0,73.0,11.0,772.0,1988.0,270.0,4690.0,0.026497695852534562,0.004904051172707889,0.08518518518518518,0.08410138248847926,0.01556503198294243,0.27037037037037037,0.012672811059907835,0.002345415778251599,0.040740740740740744,0.8894009216589862,0.1646055437100213,2.859259259259259,4690.0
214,UNOPROSTONE,0.0,0.0,0.0,0.0,0.0,107.0,14.0,35.0,9.0,12.0,1991.0,185.0,2380.0,0.1308411214953271,0.0058823529411764705,0.07567567567567568,0.32710280373831774,0.014705882352941176,0.1891891891891892,0.08411214953271028,0.003781512605042017,0.04864864864864865,0.11214953271028037,0.005042016806722689,0.06486486486486487,2380.0
215,LEVOBETAXOLOL,1.0,0.0,0.0,0.0,0.0,131.0,26.0,64.0,12.0,19.0,2000.0,13.0,296.0,0.1984732824427481,0.08783783783783784,2.0,0.48854961832061067,0.21621621621621623,4.923076923076923,0.0916030534351145,0.04054054054054054,0.9230769230769231,0.1450381679389313,0.06418918918918919,1.4615384615384615,296.0
216,MEQUINOL,1.0,0.0,0.0,0.0,0.0,34.0,3.0,9.0,1.0,2.0,1980.0,132.0,977.0,0.08823529411764706,0.0030706243602865915,0.022727272727272728,0.2647058823529412,0.009211873080859774,0.06818181818181818,0.029411764705882353,0.0010235414534288639,0.007575757575757576,0.058823529411764705,0.0020470829068577278,0.015151515151515152,977.0
217,EPROSARTAN,0.0,0.0,0.0,0.0,0.0,410.0,86.0,277.0,60.0,171.0,1992.0,371.0,7110.0,0.2097560975609756,0.01209563994374121,0.23180592991913745,0.675609756097561,0.038959212376933894,0.7466307277628033,0.14634146341463414,0.008438818565400843,0.16172506738544473,0.4170731707317073,0.024050632911392405,0.4609164420485175,7110.0
218,GREPAFLOXACIN,0.0,0.0,0.0,0.0,0.0,698.0,180.0,547.0,86.0,201.0,1992.0,319.0,5800.0,0.25787965616045844,0.03103448275862069,0.5642633228840125,0.7836676217765043,0.09431034482758621,1.7147335423197492,0.12320916905444126,0.014827586206896552,0.26959247648902823,0.28796561604584525,0.0346551724137931,0.6300940438871473,5800.0
219,TROVAFLOXACIN,0.0,0.0,0.0,0.0,0.0,751.0,218.0,497.0,103.0,184.0,1993.0,733.0,10700.0,0.29027962716378164,0.020373831775700936,0.29740791268758526,0.6617842876165113,0.04644859813084112,0.6780354706684857,0.13715046604527298,0.009626168224299065,0.14051841746248295,0.24500665778961384,0.017196261682242992,0.25102319236016374,10700.0
220,DOLASETRON,3.0,0.0,1.0,0.0,0.0,622.0,290.0,574.0,121.0,286.0,1989.0,272.0,6670.0,0.4662379421221865,0.043478260869565216,1.0661764705882353,0.9228295819935691,0.08605697151424288,2.110294117647059,0.1945337620578778,0.018140929535232383,0.44485294117647056,0.45980707395498394,0.04287856071964018,1.0514705882352942,6670.0
221,SPARFLOXACIN,0.0,0.0,0.0,0.0,0.0,1300.0,209.0,1010.0,75.0,654.0,1989.0,1192.0,19400.0,0.16076923076923078,0.010773195876288659,0.17533557046979867,0.7769230769230769,0.052061855670103095,0.8473154362416108,0.057692307692307696,0.003865979381443299,0.06291946308724833,0.5030769230769231,0.03371134020618557,0.5486577181208053,19400.0
222,NALMEFENE,1.0,0.0,0.0,0.0,0.0,280.0,53.0,144.0,17.0,45.0,1983.0,406.0,8180.0,0.18928571428571428,0.00647921760391198,0.13054187192118227,0.5142857142857142,0.017603911980440097,0.35467980295566504,0.060714285714285714,0.002078239608801956,0.04187192118226601,0.16071428571428573,0.005501222493887531,0.11083743842364532,8180.0
223,ALLANTOIN,0.0,0.0,0.0,0.0,0.0,3420.0,778.0,1530.0,18.0,1330.0,1924.0,1427.0,35600.0,0.22748538011695907,0.021853932584269663,0.5451997196916608,0.4473684210526316,0.04297752808988764,1.0721793973370708,0.005263157894736842,0.0005056179775280899,0.012613875262789068,0.3888888888888889,0.03735955056179775,0.9320252277505255,35600.0
224,CYCLIZINE,1.0,0.0,0.0,0.0,0.0,274.0,65.0,128.0,19.0,46.0,1961.0,183.0,8000.0,0.23722627737226276,0.008125,0.3551912568306011,0.46715328467153283,0.016,0.6994535519125683,0.06934306569343066,0.002375,0.10382513661202186,0.1678832116788321,0.00575,0.25136612021857924,8000.0
225,CHLORCYCLIZINE,1.0,0.0,0.0,0.0,0.0,362.0,27.0,58.0,14.0,22.0,1958.0,65.0,2510.0,0.07458563535911603,0.010756972111553785,0.4153846153846154,0.16022099447513813,0.023107569721115537,0.8923076923076924,0.03867403314917127,0.005577689243027889,0.2153846153846154,0.06077348066298342,0.008764940239043825,0.3384615384615385,2510.0
226,LOMEFLOXACIN,0.0,0.0,0.0,0.0,0.0,485.0,1340.0,2060.0,220.0,1310.0,1987.0,886.0,13900.0,2.7628865979381443,0.09640287769784173,1.512415349887133,4.247422680412371,0.14820143884892087,2.325056433408578,0.4536082474226804,0.015827338129496403,0.24830699774266365,2.7010309278350517,0.09424460431654676,1.4785553047404063,13900.0
227,BEPRIDIL,3.0,1.0,1.0,0.0,0.0,786.0,191.0,545.0,124.0,238.0,1977.0,953.0,12500.0,0.2430025445292621,0.01528,0.20041972717733472,0.693384223918575,0.0436,0.5718782791185729,0.15776081424936386,0.00992,0.13011542497376705,0.30279898218829515,0.01904,0.2497376705141658,12500.0
228,DEZOCINE,0.0,0.0,0.0,0.0,0.0,62.0,6.0,31.0,3.0,9.0,1979.0,161.0,3080.0,0.0967741935483871,0.001948051948051948,0.037267080745341616,0.5,0.010064935064935065,0.19254658385093168,0.04838709677419355,0.000974025974025974,0.018633540372670808,0.14516129032258066,0.002922077922077922,0.055900621118012424,3080.0
229,CEFMETAZOLE,0.0,0.0,0.0,0.0,0.0,223.0,41.0,98.0,35.0,49.0,1979.0,647.0,9160.0,0.18385650224215247,0.004475982532751091,0.0633693972179289,0.43946188340807174,0.010698689956331877,0.15146831530139104,0.15695067264573992,0.003820960698689956,0.05409582689335394,0.21973094170403587,0.005349344978165939,0.07573415765069552,9160.0
230,PERGOLIDE,0.0,0.0,0.0,0.0,0.0,692.0,138.0,256.0,40.0,101.0,1979.0,1048.0,19600.0,0.1994219653179191,0.0070408163265306125,0.1316793893129771,0.3699421965317919,0.013061224489795919,0.24427480916030533,0.057803468208092484,0.0020408163265306124,0.03816793893129771,0.14595375722543352,0.005153061224489796,0.09637404580152671,19600.0
231,ASTEMIZOLE,3.0,0.0,1.0,0.0,0.0,2950.0,2340.0,4350.0,1300.0,2960.0,1981.0,731.0,17300.0,0.7932203389830509,0.1352601156069364,3.20109439124487,1.4745762711864407,0.2514450867052023,5.950752393980848,0.4406779661016949,0.07514450867052024,1.7783857729138166,1.0033898305084745,0.17109826589595376,4.049247606019152,17300.0
232,CEFOTIAM,0.0,0.0,0.0,0.0,0.0,151.0,20.0,53.0,7.0,17.0,1979.0,634.0,10100.0,0.13245033112582782,0.0019801980198019802,0.031545741324921134,0.3509933774834437,0.005247524752475248,0.083596214511041,0.046357615894039736,0.000693069306930693,0.011041009463722398,0.11258278145695365,0.0016831683168316831,0.026813880126182965,10100.0
233,PENBUTOLOL,1.0,0.0,0.0,0.0,0.0,2100.0,775.0,1380.0,336.0,840.0,1975.0,220.0,3340.0,0.36904761904761907,0.23203592814371257,3.522727272727273,0.6571428571428571,0.41317365269461076,6.2727272727272725,0.16,0.10059880239520957,1.5272727272727273,0.4,0.25149700598802394,3.8181818181818183,3340.0
234,CARPROFEN,0.0,0.0,0.0,0.0,0.0,742.0,62.0,199.0,30.0,72.0,1977.0,621.0,23900.0,0.08355795148247978,0.002594142259414226,0.0998389694041868,0.26819407008086255,0.008326359832635983,0.32045088566827695,0.04043126684636118,0.0012552301255230125,0.04830917874396135,0.09703504043126684,0.0030125523012552303,0.11594202898550725,23900.0
235,FEDRATINIB,2.0,0.0,1.0,0.0,0.0,87.0,15.0,62.0,15.0,18.0,2006.0,121.0,1740.0,0.1724137931034483,0.008620689655172414,0.12396694214876033,0.7126436781609196,0.035632183908045977,0.512396694214876,0.1724137931034483,0.008620689655172414,0.12396694214876033,0.20689655172413793,0.010344827586206896,0.1487603305785124,1740.0
236,GILTERITINIB,1.0,0.0,1.0,0.0,0.0,104.0,15.0,75.0,14.0,13.0,2006.0,130.0,2070.0,0.14423076923076922,0.007246376811594203,0.11538461538461539,0.7211538461538461,0.036231884057971016,0.5769230769230769,0.1346153846153846,0.00676328502415459,0.1076923076923077,0.125,0.006280193236714976,0.1,2070.0
237,PONATINIB,4.0,0.0,1.0,1.0,0.0,729.0,151.0,501.0,143.0,183.0,2006.0,666.0,11800.0,0.20713305898491083,0.012796610169491525,0.22672672672672672,0.6872427983539094,0.042457627118644065,0.7522522522522522,0.19615912208504802,0.01211864406779661,0.2147147147147147,0.25102880658436216,0.015508474576271187,0.2747747747747748,11800.0
238,BOSUTINIB,1.0,0.0,1.0,0.0,0.0,847.0,155.0,570.0,145.0,197.0,2003.0,545.0,7340.0,0.18299881936245574,0.02111716621253406,0.28440366972477066,0.6729634002361276,0.0776566757493188,1.0458715596330275,0.17119244391971664,0.019754768392370572,0.26605504587155965,0.23258559622195984,0.02683923705722071,0.3614678899082569,7340.0
239,AXITINIB,4.0,1.0,1.0,0.0,0.0,811.0,218.0,637.0,206.0,196.0,2005.0,1029.0,19800.0,0.2688039457459926,0.01101010101010101,0.2118561710398445,0.7854500616522812,0.03217171717171717,0.6190476190476191,0.25400739827373614,0.010404040404040403,0.2001943634596696,0.24167694204685575,0.009898989898989899,0.19047619047619047,19800.0
240,CRIZOTINIB,4.0,0.0,1.0,0.0,0.0,1280.0,289.0,1500.0,829.0,353.0,2006.0,2318.0,27200.0,0.22578125,0.010625,0.12467644521138913,1.171875,0.05514705882352941,0.6471095772217429,0.64765625,0.03047794117647059,0.35763589301121657,0.27578125,0.012977941176470588,0.15228645383951683,27200.0
241,QUETIAPINE,2.0,0.0,1.0,0.0,0.0,3220.0,1490.0,2600.0,473.0,1150.0,1991.0,4679.0,80300.0,0.46273291925465837,0.01855541718555417,0.3184441119897414,0.8074534161490683,0.0323785803237858,0.5556742893780723,0.1468944099378882,0.005890410958904109,0.10108997649070314,0.35714285714285715,0.014321295143212951,0.24577901260953194,80300.0
242,MIRTAZAPINE,4.0,1.0,1.0,0.0,1.0,2740.0,1300.0,2160.0,377.0,1080.0,1982.0,2095.0,46900.0,0.4744525547445255,0.02771855010660981,0.6205250596658711,0.7883211678832117,0.04605543710021322,1.0310262529832936,0.1375912408759124,0.008038379530916843,0.17995226730310263,0.39416058394160586,0.02302771855010661,0.5155131264916468,46900.0
243,OLANZAPINE,3.0,1.0,1.0,0.0,0.0,7760.0,3250.0,5810.0,707.0,3910.0,1992.0,8359.0,145000.0,0.41881443298969073,0.022413793103448276,0.38880248833592534,0.7487113402061856,0.04006896551724138,0.695059217609762,0.09110824742268041,0.004875862068965517,0.08457949515492284,0.5038659793814433,0.02696551724137931,0.46775930135183635,145000.0
244,TALAZOPARIB,0.0,0.0,0.0,0.0,0.0,157.0,35.0,87.0,17.0,33.0,2006.0,233.0,3790.0,0.2229299363057325,0.009234828496042216,0.15021459227467812,0.554140127388535,0.02295514511873351,0.37339055793991416,0.10828025477707007,0.004485488126649077,0.07296137339055794,0.21019108280254778,0.008707124010554089,0.14163090128755365,3790.0
245,RUCAPARIB,4.0,1.0,1.0,0.0,1.0,273.0,75.0,170.0,34.0,77.0,2006.0,322.0,6760.0,0.27472527472527475,0.011094674556213017,0.2329192546583851,0.6227106227106227,0.02514792899408284,0.5279503105590062,0.12454212454212454,0.005029585798816568,0.10559006211180125,0.28205128205128205,0.011390532544378698,0.2391304347826087,6760.0
246,TUCATINIB,2.0,0.0,0.0,1.0,0.0,33.0,17.0,39.0,15.0,7.0,2006.0,50.0,1220.0,0.5151515151515151,0.013934426229508197,0.34,1.1818181818181819,0.031967213114754096,0.78,0.45454545454545453,0.012295081967213115,0.3,0.21212121212121213,0.005737704918032787,0.14,1220.0
247,CAPMATINIB,1.0,0.0,1.0,0.0,0.0,48.0,15.0,24.0,7.0,9.0,2011.0,79.0,1390.0,0.3125,0.01079136690647482,0.189873417721519,0.5,0.017266187050359712,0.3037974683544304,0.14583333333333334,0.005035971223021582,0.08860759493670886,0.1875,0.006474820143884892,0.11392405063291139,1390.0
248,RIPRETINIB,4.0,0.0,1.0,1.0,0.0,11.0,1.0,12.0,3.0,1.0,2006.0,34.0,435.0,0.09090909090909091,0.0022988505747126436,0.029411764705882353,1.0909090909090908,0.027586206896551724,0.35294117647058826,0.2727272727272727,0.006896551724137931,0.08823529411764706,0.09090909090909091,0.0022988505747126436,0.029411764705882353,435.0
249,SELUMETINIB,5.0,1.0,1.0,0.0,1.0,360.0,42.0,129.0,34.0,32.0,2005.0,555.0,8710.0,0.11666666666666667,0.004822043628013777,0.07567567567567568,0.35833333333333334,0.014810562571756601,0.23243243243243245,0.09444444444444444,0.0039035591274397246,0.06126126126126126,0.08888888888888889,0.0036739380022962113,0.05765765765765766,8710.0
250,PEMIGATINIB,1.0,0.0,1.0,0.0,0.0,6.0,3.0,8.0,3.0,6.0,2019.0,32.0,654.0,0.5,0.0045871559633027525,0.09375,1.3333333333333333,0.012232415902140673,0.25,0.5,0.0045871559633027525,0.09375,1.0,0.009174311926605505,0.1875,654.0
251,BARICITINIB,1.0,0.0,1.0,0.0,0.0,211.0,57.0,190.0,46.0,70.0,2006.0,418.0,8740.0,0.27014218009478674,0.006521739130434782,0.13636363636363635,0.9004739336492891,0.021739130434782608,0.45454545454545453,0.21800947867298578,0.005263157894736842,0.11004784688995216,0.33175355450236965,0.008009153318077803,0.1674641148325359,8740.0
252,LORLATINIB,4.0,0.0,1.0,1.0,0.0,131.0,31.0,105.0,32.0,35.0,2006.0,197.0,6760.0,0.2366412213740458,0.004585798816568047,0.15736040609137056,0.8015267175572519,0.015532544378698224,0.5329949238578681,0.24427480916030533,0.004733727810650888,0.16243654822335024,0.26717557251908397,0.005177514792899409,0.17766497461928935,6760.0
253,DACOMITINIB ANHYDROUS,2.0,0.0,1.0,0.0,0.0,7.0,3.0,6.0,2.0,4.0,0.0,0.0,103.0,0.42857142857142855,0.02912621359223301,inf,0.8571428571428571,0.05825242718446602,inf,0.2857142857142857,0.019417475728155338,inf,0.5714285714285714,0.038834951456310676,inf,103.0
254,LAROTRECTINIB,1.0,0.0,1.0,0.0,0.0,65.0,13.0,43.0,13.0,16.0,2010.0,157.0,2970.0,0.2,0.004377104377104377,0.08280254777070063,0.6615384615384615,0.014478114478114479,0.27388535031847133,0.2,0.004377104377104377,0.08280254777070063,0.24615384615384617,0.0053872053872053875,0.10191082802547771,2970.0
